latitud;longitud;precio_numero;num_banos;num_habitaciones;m2;anio_construccion;Parqueadero;Parque;Avenidas_principales;Colegios;Armario;Balcon;Patio;Bodega;Seguridad;OBJECTID;CODPAR;distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION
-1.057572705;-80.45688801;95000;2;3;162;2017;0;1;1;1;0;0;0;0;0;626;6770;0.182795439;0.320619934;0.355237166;0.13710761;0.192879674;0.36119629
-1.056386495;-80.45288895;85000;3;3;100;2017;1;1;1;1;0;0;0;0;0;629;5795;0.477995835;0.74360879;0.113941895;0.055632158;0.193719773;0.29727992
-1.063662733;-80.44626388;93000;3;3;125;2017;1;1;1;1;0;0;0;0;0;632;5030;0.426059769;0.544369073;0.316352957;0.441711757;0.209706007;0.042701886
-1.039373304;-80.47457223;70000;2;3;120;2017;1;1;1;1;0;0;0;0;0;626;6770;0.471596313;0.598858267;0.352473749;0.434593301;0.084197667;0.024902932
-1.058142076;-80.47208246;45000;2;2;56;2017;1;1;1;1;0;0;0;0;0;632;5030;0.326084143;0.394343063;0.648245379;0.54138825;0.259481681;0.139511258
-1.053447292;-80.4498956;80000;1;2;286;2017;1;1;1;1;0;0;0;0;0;630;6775;1.087975202;2.426024565;0.025282231;0.042680528;0.450734022;0.151125747
-1.046443246;-80.47194599;130000;4;4;200;2017;0;1;1;1;0;0;0;0;0;626;6770;0.584887078;0.449216251;0.541766994;0.330853309;0.310228324;0.340556437
-1.059861244;-80.46606435;112000;2;3;185;2017;0;1;1;1;0;0;0;0;0;632;5030;0.513509268;0.090577658;0.262237583;0.122314229;0.175488011;0.3531251
-1.055320032;-80.45566493;75000;3;3;100;2017;0;1;1;1;0;0;0;0;0;626;6770;0.16868221;0.423144472;0.228458182;0.192403443;0.060361912;0.376724646
-1.055792021;-80.45746737;80000;2;3;250;2017;0;1;1;1;0;0;0;0;0;626;6770;0.174124547;0.411471414;0.36659615;0.066896066;0.128746745;0.382461081
-1.009541251;-80.46631433;91900;2;3;100;2017;1;1;1;1;0;0;0;0;0;626;6770;1.561598225;1.773695165;0.796334252;1.701175723;0.195362859;0.356452629
-1.050079388;-80.4651426;1190000;8;8;703;2017;0;1;1;1;0;0;0;0;0;626;6770;0.509639553;1.002210654;0.288478934;0.18260865;0.042306304;0.205792477
-1.057298291;-80.45401548;265000;4;4;315;2017;0;1;1;1;0;0;0;0;0;629;5795;0.31688755;0.720723207;0.253656929;0.058392602;0.221693419;0.340342524
-1.055509158;-80.47694591;150000;6;7;310;2017;0;1;1;1;0;0;0;0;0;632;5030;0.31310278;0.227311327;1.258645645;0.700287208;0.055877862;0.05478028
-1.056507896;-80.45552479;55000;2;4;105;2017;1;1;1;1;0;0;0;0;0;626;6770;0.270258149;0.455445871;0.357947377;0.218039061;0.073839384;0.502351787
-1.063544982;-80.45419022;80000;3;3;100;2017;0;1;1;1;0;0;0;0;0;632;5030;0.257362295;0.189283984;0.209548969;0.4268685;0.409425396;0.405475289
-1.054173081;-80.47517236;180000;3;5;527;2017;0;1;1;1;0;0;0;0;0;632;5030;0.381497985;0.216909191;1.107653654;0.470441051;0.083653914;0.205615748
-1.0622012;-80.47077134;85000;5;3;105;2009;0;1;1;1;0;0;1;1;0;632;5030;0.064593971;0.512760203;0.368105851;0.456841784;0.224737547;0.040196386
-1.031860111;-80.48097916;112000;4;3;135;2023;0;1;1;1;0;0;0;0;0;626;6770;0.876984123;0.54050092;0.139360741;1.410194539;0.379915088;0.314307687
-1.062372832;-80.47079279;74000;3;3;120;2009;0;1;1;1;0;0;1;1;0;632;5030;0.083702986;0.5251683;0.373599515;0.468235342;0.205810177;0.03480537
-1.062177128;-80.47761727;89000;2;3;90;2024;0;0;1;0;0;0;0;0;0;632;5030;0.351613335;0.445398101;0.861645387;1.011013705;0.328175366;0.610957577
-1.011787679;-80.46805576;102000;3;4;120;2023;0;1;1;1;0;0;1;0;0;626;6770;1.291649594;1.527098343;0.510378039;1.44409355;0.153664866;0.195548875
-1.065048931;-80.45432197;84990;3;3;97;2023;0;0;1;1;1;0;1;0;0;632;5030;0.212367651;0.357078048;0.334261251;0.56341966;0.329479722;0.512259927
-1.0065195;-80.46557623;98000;4;3;115;2024;0;0;1;1;1;0;1;0;0;627;5280;0.998147457;1.160746493;0.348749357;2.468699142;1.091581976;0.450687575
-1.020593005;-80.46251745;63000;2;2;75;2023;0;0;1;1;0;0;0;0;0;627;5280;0.701394054;0.471154619;0.736447258;0.918041994;0.293006068;0.302702731
-1.049127667;-80.466823;260000;4;5;93;2000;0;1;1;1;1;0;1;1;0;626;6770;0.545702188;0.812927812;0.426748674;0.286057361;0.130080856;0.01764981
-1.035228417;-80.4747028;88500;1;3;93;2023;0;1;1;1;1;0;1;1;0;626;6770;0.614947397;0.963708088;0.120186119;0.633007438;0.150005943;0.21072305
