titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,condicion,armarios_empotrados,terraza,balcon,garaje,calefaccion,aire_acondicionado
Piso en venta en calle Asunción s/n,Asunción - Adolfo Suárez,525000,1.0,2,1,Primeros_pisos,5.0,190,Segunda mano/para reformar,1,1,0,0,0,1
Piso en venta en calle Virgen del valle,Parque de los Principes - Calle Niebla,314650,1.0,2,0,Bajo,2.0,96,Segunda mano/buen estado,1,0,0,0,0,0
 Chalet adosado en venta en Tablada,Los Remedios,302000,0.0,3,0,Primeros_pisos,4.0,140,Segunda mano/para reformar,0,0,0,0,0,0
Piso en venta en Tablada,Los Remedios,362420,1.0,2,0,Primeros_pisos,3.0,132,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,650000,1.0,3,0,Primeros_pisos,5.0,195,Segunda mano/buen estado,1,0,0,1,1,1
Piso en venta en Ramón de Carranza - Madre Rafols,Los Remedios,400000,1.0,2,0,Muchas_plantas,4.0,161,Segunda mano/para reformar,1,1,0,0,1,0
Ático en venta en Monte Carmelo,Asunción - Adolfo Suárez,220000,1.0,1,0,Muchas_plantas,1.0,60,Segunda mano/buen estado,0,1,0,0,0,1
Piso en venta en calle Monte Carmelo,Asunción - Adolfo Suárez,490000,1.0,2,1,Primeros_pisos,5.0,169,Segunda mano/buen estado,1,1,1,0,0,1
Piso en venta en Ramón de Carranza - Madre Rafols,Los Remedios,280000,1.0,1,1,Bajo,3.0,114,Segunda mano/para reformar,1,0,0,0,0,0
Ático en venta en Asunción - Adolfo Suárez,Los Remedios,476000,1.0,2,0,Muchas_plantas,4.0,137,Segunda mano/para reformar,1,1,0,0,1,1
Piso en venta en calle Virgen de la Antigua,Ramón de Carranza - Madre Rafols,280000,1.0,1,1,Bajo,3.0,115,Segunda mano/para reformar,1,0,0,0,0,0
Piso en venta en calle Virgen de Luján,Asunción - Adolfo Suárez,650000,1.0,4,1,Primeros_pisos,4.0,230,Segunda mano/buen estado,1,1,0,1,1,1
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,164999,0.0,1,0,Ultimos_pisos,3.0,82,Segunda mano/buen estado,0,1,0,0,1,1
